#起始日期：2017-06-01 00:00:00  终止日期：2017-06-12 23:59:59												
#交易金额合计：11197笔，共4110546.80元												
#下载时间：2017-06-18 20:58:23												
												
交易时间	微信支付单号	商户订单号	商户号	特约商户号	设备号	appid	下单用户	交易场景	交易状态	支付成功时间	交易金额(元)	现金券抵扣金额(元) 
2017/6/1 0:02	"4001212001201706013591710789	"	"GH201706010001352039525405	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1warIolo9Q8xIe_Otj2Bi5YY	公众号支付	买家已支付	2017/6/1 0:02	7.5	0
2017/6/1 0:17	"4000452001201706013593053199	"	"GH201706010016301386814503	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wc0V2yEtqU19_FQMsvzTwZo	公众号支付	买家已支付	2017/6/1 0:17	5.5	0
2017/6/1 1:05	"4003152001201706013594131738	"	"GH201706010104571427085528	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wWETZvJgIHzfMfekn7Mg1Gg	公众号支付	买家已支付	2017/6/1 1:05	7.5	0
2017/6/1 1:49	"4001722001201706013598126065	"	"GH201706010148552087830494	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wW-93G6JM6IRD6LQQAxD9fM	公众号支付	买家已支付	2017/6/1 1:49	7.5	0
2017/6/1 5:33	"4006722001201706013611223599	"	"GH201706010531402120419555	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wVN_WGheQEu8A87zjWMnFeM	公众号支付	买家已支付	2017/6/1 5:33	7.5	0
2017/6/1 5:41	"4005142001201706013615296830	"	"GH201706010540141537702076	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wWVSB2TduFXtMnidsXItMVQ	公众号支付	买家已支付	2017/6/1 5:41	5.5	0
2017/6/1 6:00	"4007192001201706013613692480	"	"GH201706010559311601043860	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wUoyCkhZdguNaomU5R_XmwY	公众号支付	买家已支付	2017/6/1 6:00	7.5	0
2017/6/1 6:00	"4001882001201706013615626819	"	"GH20170601055934153178811	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wb_RXAL8Jn5WfN0uqKb4MS8	公众号支付	买家已支付	2017/6/1 6:00	7.5	0
2017/6/1 6:00	"4000742001201706013611671773	"	"GH201706010559311945324818	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wfYLyVeUsR_r_rxuQv14xoI	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:00	"4007442001201706013611735251	"	"GH20170601055933698913389	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wcGLODIQg5A8kA09wR6yQw0	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
